city,state,date,rate_5,rate_10,rate_20
New York,NY,2025-02-28,4667.706707,4422.037933,3560.607742
Los Angeles,CA,2025-03-01,6674.443172,6323.156689,5091.38117
Chicago,IL,2025-03-02,2226.3225,2109.147631,1698.277469
Dallas,TX,2025-03-03,2543.327644,2409.468294,1940.094498
Houston,TX,2025-03-04,2102.845732,1992.169641,1604.087246
Washington,VA,2025-03-05,3953.589338,3745.505689,3015.866611
Philadelphia,PA,2025-03-06,2500.105579,2368.521075,1907.123957
Miami,FL,2025-03-07,3329.241896,3154.018639,2539.603539
Atlanta,GA,2025-03-08,2595.485887,2458.881367,1979.881712
Boston,MA,2025-03-09,4796.728271,4544.268889,3659.027633
Phoenix,AZ,2025-03-10,3109.085914,2945.449813,2371.664732
San Francisco,CA,2025-03-11,7931.90253,7514.433975,6050.593007
Riverside,CA,2025-03-12,4041.4471,3828.739358,3082.886038
Detroit,MI,2025-03-13,1716.162299,1625.837967,1309.118407
Seattle,WA,2025-03-14,5158.578838,4887.074689,3935.053529
Minneapolis,MN,2025-03-15,2549.225398,2415.05564,1944.593407
San Diego,CA,2025-03-16,6512.697197,6169.923661,4967.998531
Tampa,FL,2025-03-17,2514.538913,2382.194759,1918.133954
Denver,CO,2025-03-18,4024.391174,3812.581112,3069.875481
Baltimore,MD,2025-03-19,2657.662027,2517.785079,2027.310752
St. Louis,MO,2025-03-20,1730.877494,1639.778678,1320.343413
Orlando,FL,2025-03-21,2684.646368,2543.349191,2047.894875
Charlotte,NC,2025-03-22,2595.39982,2458.799829,1979.816058
San Antonio,TX,2025-03-23,1923.080407,1821.865649,1466.959134
Portland,OR,2025-03-24,3767.747683,3569.445173,2874.103369
Sacramento,CA,2025-03-25,3982.408308,3772.80787,3037.850222
Pittsburgh,PA,2025-03-26,1432.439055,1357.047526,1092.689389
Cincinnati,OH,2025-03-27,1954.786216,1851.902731,1491.144876
Austin,TX,2025-03-28,3064.938185,2903.625649,2337.988078
Las Vegas,NV,2025-03-29,2955.79039,2800.222474,2254.728244
Kansas City,MO,2025-03-30,2072.60331,1963.518925,1581.0178
Columbus,OH,2025-03-31,2156.736175,2043.223744,1645.195811
Indianapolis,IN,2025-04-01,1909.222753,1808.737345,1456.388274
Cleveland,OH,2025-04-02,1571.406904,1488.701278,1198.696478
San Jose,CA,2025-04-03,11476.85713,10872.81202,8754.745942
Nashville,TN,2025-04-04,3009.059708,2850.688144,2295.363005
Virginia Beach,VA,2025-04-05,2409.869436,2283.034203,1838.29026
Providence,RI,2025-04-06,3336.340213,3160.74336,2545.018258
Jacksonville,FL,2025-04-07,2407.933915,2281.200551,1836.813811
Milwaukee,WI,2025-04-08,2369.171168,2244.477949,1807.244914
Oklahoma City,OK,2025-04-09,1593.56716,1509.695204,1215.600706
Raleigh,NC,2025-04-10,3023.48634,2864.35548,2306.367891
Memphis,TN,2025-04-11,1609.841954,1525.11343,1228.015401
Richmond,VA,2025-04-12,2549.563851,2415.37628,1944.851585
Louisville,KY,2025-04-13,1782.370484,1688.561511,1359.623161
New Orleans,LA,2025-04-14,1596.186286,1512.176482,1217.598621
Salt Lake City,UT,2025-04-15,3781.626831,3582.59384,2884.690624
Hartford,CT,2025-04-16,2499.491486,2367.939302,1906.655515
Buffalo,NY,2025-04-17,1772.668727,1679.370373,1352.222492
Birmingham,AL,2025-04-18,1700.385901,1610.891907,1297.083897
Rochester,NY,2025-04-19,1729.55677,1638.527466,1319.335942
Grand Rapids,MI,2025-04-20,2226.004924,2108.84677,1698.035216
Tucson,AZ,2025-04-21,2368.48431,2243.827241,1806.720966
Urban Honolulu,HI,2025-04-22,5878.042303,5568.671655,4483.872755
Tulsa,OK,2025-04-23,1603.272488,1518.889725,1223.004098
Fresno,CA,2025-04-24,2736.433469,2592.410655,2087.398975
Worcester,MA,2025-04-25,3120.191372,2955.970774,2380.136169
Omaha,NE,2025-04-26,1978.723956,1874.58059,1509.404999
Bridgeport,CT,2025-04-27,4333.529078,4105.4486,3305.691243
Greenville,SC,2025-04-28,2023.261172,1916.773742,1543.378761
Albuquerque,NM,2025-04-29,2303.086093,2181.871035,1756.83407
Bakersfield,CA,2025-04-30,2449.616461,2320.689279,1868.60998
Albany,NY,2025-05-01,2254.256662,2135.611575,1719.586133
Knoxville,TN,2025-05-02,2335.595661,2212.669574,1781.632934
Baton Rouge,LA,2025-05-03,1596.634256,1512.600874,1217.94034
McAllen,TX,2025-05-04,1285.858523,1218.181759,980.8752135
New Haven,CT,2025-05-05,2550.073247,2415.858865,1945.240161
El Paso,TX,2025-05-06,1514.323476,1434.62224,1155.152247
Allentown,PA,2025-05-07,2284.810613,2164.557423,1742.893217
Oxnard,CA,2025-05-08,6023.542731,5706.514167,4594.863009
Columbia,SC,2025-05-09,1703.348379,1613.698464,1299.343727
North Port,FL,2025-05-10,2944.731278,2789.745421,2246.292161
Charleston,SC,2025-05-11,2995.729212,2838.059253,2285.194271
Greensboro,NC,2025-05-12,1727.891731,1636.950061,1318.065822
Stockton,CA,2025-05-13,3721.314799,3525.456126,2838.683559
Cape Coral,FL,2025-05-14,2545.458368,2411.486875,1941.719851
Boise City,ID,2025-05-15,3306.452593,3132.428773,2522.219463
Colorado Springs,CO,2025-05-16,3142.664046,2977.260675,2397.278714
Little Rock,AR,2025-05-17,1507.47954,1428.138511,1149.931574
Lakeland,FL,2025-05-18,2103.194277,1992.499842,1604.353122
Akron,OH,2025-05-19,1496.503752,1417.740397,1141.559053
Des Moines,IA,2025-05-20,1919.205802,1818.194971,1464.003518
Springfield,MA,2025-05-21,2388.261173,2262.563216,1821.807101
Ogden,UT,2025-05-22,3436.430114,3255.565371,2621.368573
Madison,WI,2025-05-23,2859.360113,2708.867476,2181.169554
Winston,NC,2025-05-24,1804.402478,1709.433927,1376.429549
Deltona,FL,2025-05-25,2288.814176,2168.350272,1745.947205
Syracuse,NY,2025-05-26,1583.04019,1499.722286,1207.570551
Provo,UT,2025-05-27,3665.81226,3472.874773,2796.345258
